2019-04-09 15:59:40] - INFO : +-------+------------+----------+----------+--------+--------+--------+--------+--------+---------------------------------------------------------------------------+
[2019-04-11 07:01:30] - INFO : |   7   |   0.6156   |  0.6011  |  0.4496  | 0.7713 | 0.6147 | 0.6234 | 0.5849 | 0.4836 |  work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_7_mIOU_0.6156.pth |
[2019-04-11 07:01:30] - INFO : |   8   |   0.6404   |  0.6120  |  0.4429  | 0.7669 | 0.6106 | 0.6276 | 0.6962 | 0.5004 |  work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_8_mIOU_0.6404.pth |
[2019-04-11 07:01:30] - INFO : |   9   |   0.6081   |  0.6102  |  0.4210  | 0.7656 | 0.5962 | 0.5872 | 0.6430 | 0.4486 |  work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_9_mIOU_0.6081.pth |
[2019-04-11 07:01:30] - INFO : |   10  |   0.6161   |  0.6189  |  0.4575  | 0.7724 | 0.6119 | 0.6358 | 0.5532 | 0.5075 | work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_10_mIOU_0.6161.pth |
[2019-04-11 07:01:30] - INFO : |   11  |   0.5833   |  0.6253  |  0.4647  | 0.5939 | 0.5908 | 0.6502 | 0.5451 | 0.5365 | work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_11_mIOU_0.5833.pth |
[2019-04-11 07:01:30] - INFO : |   12  |   0.5653   |  0.6173  |  0.4575  | 0.7360 | 0.5917 | 0.5395 | 0.4437 | 0.5158 | work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_12_mIOU_0.5653.pth |
[2019-04-11 07:01:30] - INFO : |   13  |   0.6173   |  0.6320  |  0.4495  | 0.7852 | 0.5709 | 0.6086 | 0.5868 | 0.5352 | work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_13_mIOU_0.6173.pth |
[2019-04-11 07:01:30] - INFO : |   14  |   0.6400   |  0.6350  |  0.4633  | 0.8187 | 0.6282 | 0.6318 | 0.5872 | 0.5340 | work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_14_mIOU_0.6400.pth |
[2019-04-11 07:01:30] - INFO : |   15  |   0.6420   |  0.6460  |  0.4793  | 0.7574 | 0.6122 | 0.6396 | 0.6886 | 0.5123 | work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_15_mIOU_0.6420.pth |
[2019-04-11 07:01:30] - INFO : |   16  |   0.5907   |  0.6416  |  0.4643  | 0.6741 | 0.5798 | 0.6283 | 0.5663 | 0.5053 | work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_16_mIOU_0.5907.pth |
[2019-04-11 07:01:30] - INFO : |   17  |   0.6560   |  0.6718  |  0.4886  | 0.7315 | 0.6354 | 0.6656 | 0.6760 | 0.5717 | work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_17_mIOU_0.6560.pth |
[2019-04-11 07:01:30] - INFO : |   18  |   0.6660   |  0.6758  |  0.4852  | 0.7810 | 0.6375 | 0.6750 | 0.6777 | 0.5589 | work_dir/CascadeRCNN/ResNet/with_round1_normal_and_train/epoch_18_mIOU_0.6660.pth |
